,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54,OTU55,OTU56,OTU57,OTU58,OTU59,OTU60,OTU61,OTU62,OTU63,OTU64,OTU65,OTU66,OTU67,OTU68,OTU69,OTU70,OTU71,OTU72,OTU73,OTU74,OTU75,OTU76,OTU77,OTU78,OTU79,OTU80,OTU81,OTU82,OTU83,OTU84,OTU85,OTU86,OTU87,OTU88,OTU89,OTU90,OTU91,OTU92,OTU93,OTU94,OTU95,OTU96,OTU97,OTU98,OTU99,OTU100
Sample48,364,166,13,318,30,16,5,0,427,714,314,372,3,0,114,0,31,0,134,0,157,183,0,0,19,4,420,0,0,40,103,120,0,15,42,11,0,5,152,0,70,0,0,0,34,0,10,0,10,257,0,0,177,113,246,68,0,116,110,11,0,53,13,0,13,83,0,0,0,192,154,26,0,0,88,0,108,17,0,177,10,0,14,0,109,14,162,0,31,10,98,19,0,16,18,0,0,88,186,44
Sample49,143,142,0,359,22,0,0,0,321,617,356,394,0,0,106,0,0,0,110,0,160,160,0,0,0,0,431,0,0,0,65,186,0,0,32,3,0,0,197,0,74,0,0,0,32,0,0,6,0,249,0,0,95,80,260,41,0,74,114,0,0,51,0,0,8,77,0,0,0,154,74,0,0,0,58,0,141,0,0,164,0,0,10,0,79,0,196,0,28,0,97,0,0,23,0,0,0,129,319,33
Sample50,185,135,0,344,31,0,0,0,418,595,372,434,0,0,91,0,0,0,142,0,148,168,0,0,0,0,373,0,0,0,56,191,0,0,28,4,0,0,196,0,62,0,0,0,30,2,0,6,0,267,0,0,95,99,214,38,0,111,110,12,0,48,0,0,9,79,0,0,0,145,71,0,0,0,41,0,125,0,0,167,0,0,17,2,97,0,171,0,22,0,98,0,0,24,0,0,0,144,251,29
Sample51,141,129,0,361,30,0,0,0,425,633,377,416,0,0,93,0,0,0,114,0,150,162,0,0,0,0,345,0,0,10,46,214,0,0,20,0,0,0,138,0,48,0,0,0,28,0,0,10,0,258,0,0,119,81,225,37,0,86,111,12,0,68,0,0,7,78,0,0,0,137,71,0,0,0,44,12,146,0,0,193,0,0,18,0,91,0,180,0,21,0,111,0,0,22,0,0,0,137,250,34
Sample52,151,132,0,286,32,0,0,0,446,671,398,423,0,0,73,0,0,0,144,0,152,139,0,0,0,0,404,12,0,12,50,182,0,0,32,0,0,0,222,0,99,0,0,0,23,0,0,0,0,271,0,0,73,95,220,61,0,108,122,15,0,39,0,0,12,71,0,0,13,114,76,0,0,0,56,0,87,0,0,164,0,0,17,0,92,0,205,0,25,0,88,0,0,25,0,0,0,143,206,31
Sample53,160,137,0,307,30,0,0,0,375,689,398,433,0,0,89,0,0,0,103,0,157,114,0,0,0,0,412,0,0,10,57,211,0,0,26,5,0,0,243,0,91,0,0,0,24,0,0,0,0,274,0,0,88,96,261,67,0,105,112,0,0,24,0,0,13,74,0,0,0,107,84,0,0,0,66,0,72,0,0,169,0,0,13,0,83,0,210,0,43,0,99,0,0,18,0,0,0,135,177,34
Sample54,162,131,0,364,36,0,0,0,407,619,395,409,3,0,89,0,0,0,111,0,163,132,0,0,0,0,413,0,0,0,67,160,0,0,28,0,0,0,216,0,71,0,0,0,23,0,0,0,0,295,0,0,104,88,258,77,0,92,109,8,0,48,0,0,14,83,0,0,16,175,87,0,0,0,75,0,103,0,0,186,0,0,13,0,77,0,196,0,33,0,86,0,0,17,0,0,0,113,217,26
Sample55,144,142,0,429,25,0,0,0,435,902,337,558,0,0,143,0,0,0,102,0,234,168,0,0,0,0,540,0,0,0,117,118,0,0,41,0,0,0,203,0,96,0,0,0,25,0,0,0,0,269,0,0,80,138,234,48,0,89,134,0,0,56,0,0,17,74,0,0,0,127,268,0,0,0,86,0,112,0,0,217,0,0,0,0,124,0,223,0,22,0,107,0,0,13,0,0,0,54,145,59
Sample56,174,175,0,432,26,0,0,0,456,782,407,505,5,0,130,0,0,0,110,0,254,172,0,0,0,0,516,0,0,0,69,114,0,0,42,4,0,0,184,0,82,0,0,0,29,0,0,0,0,249,0,0,72,144,231,70,0,101,91,12,0,51,0,0,19,53,0,0,0,80,177,0,0,0,63,22,96,0,0,152,0,0,14,0,117,9,250,0,24,0,107,0,0,13,0,0,0,88,157,42
Sample57,170,188,0,380,26,0,0,0,450,740,420,536,0,0,106,0,0,0,96,0,245,177,0,0,0,0,467,0,0,0,73,132,0,0,39,6,0,0,210,0,78,0,0,0,36,0,0,6,0,301,0,0,100,168,165,81,0,98,117,0,0,55,0,0,14,50,0,0,0,103,188,0,0,0,92,14,89,0,0,166,0,0,13,0,122,0,237,0,17,0,105,0,0,20,0,0,0,81,169,56
